fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,avg_emp_per_est,avg_annual_payroll_per_emp,naics_sector
48,201,5416,,6711,,85,G,343,500,246,96,70,36,21,5,4,0,22,13,5,2,2,13.422,51.11011771718075,54
48,201,5417,,4551,,54,,218,65,22,10,6,5,2,0,0,0,20,12,5,2,1,70.01538461538462,47.90156009668205,54
48,201,5418,,13243,,240,,963,108,53,17,10,7,4,3,0,0,14,8,3,1,2,122.62037037037037,72.71766216114173,54
48,201,5419,,11922,,211,,845,102,48,21,10,10,4,1,0,0,8,4,2,0,2,116.88235294117646,70.87736956886428,54
48,201,6211,,8531,,94,,377,471,232,100,66,40,15,11,4,0,3,1,0,0,2,18.112526539278132,44.191771187434064,62
48,201,6212,,14028,G,242,,971,273,106,64,38,14,12,4,1,0,34,20,8,3,3,51.38461538461539,69.21870544625035,62
48,201,6213,,8488,,102,,411,143,67,26,20,12,4,1,1,0,12,7,3,1,1,59.35664335664335,48.42130065975495,62
48,201,6214,,8300,,136,,546,403,170,92,42,24,16,6,2,1,50,30,12,5,3,20.595533498759306,65.78313253012048,62
48,201,6215,,6264,,106,,426,219,85,38,23,13,5,4,1,0,50,30,12,5,3,28.602739726027398,68.00766283524904,62
48,201,6216,,9095,,145,,580,439,218,102,50,29,12,10,0,0,18,10,4,1,3,20.71753986332574,63.77130291368884,62
48,201,6219,,14728,,258,,1032,376,137,56,42,27,11,11,1,1,90,54,22,9,5,39.170212765957444,70.07061379684954,62
48,201,6221,,10812,,182,,729,345,128,79,50,18,9,7,1,1,52,31,13,5,3,31.339130434782607,67.4250832408435,62
48,201,6222,,5371,,99,,399,276,137,49,36,22,11,7,0,0,14,8,3,1,2,19.46014492753623,74.28784211506238,62
48,201,6223,,3064,,30,,122,88,36,18,10,5,3,2,0,0,14,8,3,1,2,34.81818181818182,39.81723237597911,62
48,201,7221,,13671,,264,,1057,388,160,79,51,37,17,4,0,0,40,24,10,4,2,35.23453608247423,77.31694828469023,72
48,201,7222,,8179,,138,,552,113,51,27,14,8,2,1,0,0,10,6,2,1,1,72.38053097345133,67.4899131923218,72
48,201,7223,,14598,,229,,919,478,235,119,63,30,10,12,2,1,6,3,1,0,2,30.539748953974897,62.95382929168379,72
48,201,7224,,13840,,206,,825,375,136,69,43,31,17,6,2,0,71,42,17,7,5,36.906666666666666,59.60982658959538,72
48,201,7225,,1942,,25,,102,282,112,69,33,21,13,6,1,0,27,16,6,2,3,6.886524822695035,52.523171987641604,72
48,201,2361,,7742,,136,,545,370,140,75,54,26,15,4,3,1,52,31,13,5,3,20.924324324324324,70.39524670627745,23
48,201,2362,,7184,,78,,314,332,165,80,40,18,14,6,2,0,7,4,1,0,2,21.63855421686747,43.70824053452116,23
48,201,2371,,7983,,123,,495,174,70,42,21,16,7,2,1,0,15,9,3,1,2,45.87931034482759,62.00676437429538,23
48,201,2372,,12395,,160,,643,194,84,48,24,11,7,3,1,0,16,9,4,1,2,63.891752577319586,51.875756353368295,23
48,201,2373,,4412,,69,,277,407,156,92,41,35,16,10,1,1,55,33,13,5,4,10.84029484029484,62.783318223028104,23
48,201,2379,,2568,,38,,154,68,29,16,9,4,2,1,0,0,7,4,1,0,2,37.76470588235294,59.96884735202492,23
48,201,2381,,6046,,98,,392,185,75,29,21,15,6,5,1,0,33,19,8,3,3,32.68108108108108,64.83625537545484,23
48,201,2382,,10840,G,182,,730,170,66,29,17,16,7,4,0,0,31,18,7,3,3,63.76470588235294,67.34317343173431,23
48,201,2383,,5306,,72,,288,78,32,13,9,6,1,1,0,0,16,9,4,1,2,68.02564102564102,54.27817565020731,23
48,201,2389,,8055,,131,,527,168,70,36,24,12,4,3,0,0,19,11,4,1,3,47.94642857142857,65.4252017380509,23
48,201,3111,G,4597,,66,,267,403,159,100,57,22,12,6,1,1,45,27,11,4,3,11.40694789081886,58.08135740700457,31
48,201,3112,,9772,,182,,729,54,25,13,7,4,2,1,0,0,2,1,0,0,1,180.96296296296296,74.60090053213263,31
48,201,3113,,11604,,203,,814,178,82,38,19,9,6,1,1,0,22,13,5,2,2,65.19101123595506,70.14822475008617,31
48,201,3114,,12746,,180,,721,217,82,49,31,14,7,3,0,1,30,18,7,3,2,58.73732718894009,56.56676604424918,31
48,201,3115,,6049,,109,,436,495,208,77,68,30,19,11,2,2,78,46,19,7,6,12.22020202020202,72.07802942635146,31
48,201,3116,,9291,,104,,417,185,74,41,20,12,7,3,1,0,27,16,6,2,3,50.22162162162162,44.88214401033258,31
48,201,3117,,4126,,67,,271,362,161,71,48,29,8,3,0,1,41,24,10,4,3,11.397790055248619,65.68104701890451,31
48,201,3118,,7932,,108,,434,248,122,54,31,19,10,6,1,1,4,2,1,0,1,31.983870967741936,54.715078164397376,31
48,201,3119,,6570,,79,,319,403,167,69,47,39,12,11,2,0,56,33,14,5,4,16.30272952853598,48.55403348554034,31
48,201,3121,,7950,,86,,347,471,179,100,69,24,14,14,3,0,68,40,17,6,5,16.878980891719745,43.64779874213836,31
48,201,5221,,14749,,181,,727,466,217,106,60,29,23,13,2,1,15,9,3,1,2,31.65021459227468,49.29147738829751,52
48,201,5222,,13443,,240,,961,233,102,35,26,13,7,2,0,0,48,28,12,4,4,57.69527896995708,71.48701926653277,52
48,201,5223,,10577,,110,,441,163,76,38,20,11,7,1,0,0,10,6,2,1,1,64.88957055214723,41.69424222369292,52
48,201,5231,,1823,,24,,96,87,32,14,11,6,3,1,0,0,20,12,5,2,1,20.95402298850575,52.66044980800878,52
48,201,5232,,14472,,239,,957,108,52,22,15,7,5,1,0,0,6,3,1,0,2,134.0,66.12769485903814,52
48,201,5239,,6632,,129,,518,180,81,35,18,9,5,4,0,0,28,16,7,2,3,36.84444444444444,78.10615199034982,52
48,201,5241,,2502,,35,,141,393,189,95,47,37,8,6,1,0,10,6,2,1,1,6.366412213740458,56.354916067146284,52
48,201,5242,,2273,,30,,122,483,209,77,55,29,15,10,3,1,84,50,21,8,5,4.7060041407867494,53.67355917289925,52
48,201,5251,,14089,,238,,954,386,136,68,53,37,11,5,0,1,75,45,18,7,5,36.5,67.71239974448152,52
48,201,5259,,12724,,194,G,778,96,39,18,10,6,2,2,0,0,19,11,4,1,3,132.54166666666666,61.14429424709211,52
48,201,5111,,4958,,71,,286,91,37,19,10,5,3,1,0,0,16,9,4,1,2,54.48351648351648,57.68455022186365,51
48,201,5112,,6975,,138,,553,162,58,27,23,14,6,2,0,0,32,19,8,3,2,43.05555555555556,79.2831541218638,51
48,201,5121,,8696,,135,,542,167,75,30,20,14,5,3,0,0,20,12,5,2,1,52.07185628742515,62.327506899724014,51
48,201,5122,,2387,,33,,134,198,97,33,29,14,8,3,0,0,14,8,3,1,2,12.055555555555555,56.137410976120655,51
48,201,5151,,5583,,97,,389,495,189,112,51,40,17,6,3,1,76,45,19,7,5,11.27878787878788,69.67580154039047,51
48,201,5152,,2899,,36,,145,102,38,16,14,5,4,2,0,0,23,13,5,2,3,28.42156862745098,50.01724732666437,51
48,201,5171,,10908,,216,,866,379,151,93,43,27,12,8,3,1,41,24,10,4,3,28.781002638522427,79.39127246057939,51
48,201,5172,,1432,G,19,,78,69,27,14,10,3,2,1,0,0,12,7,3,1,1,20.753623188405797,54.46927374301676,51
48,201,5173,,11179,G,132,,531,342,150,68,50,24,15,9,3,0,23,13,5,2,3,32.687134502923975,47.499776366401285,51
48,201,5174,,9086,,138,,553,274,102,51,31,19,8,6,2,0,55,33,13,5,4,33.160583941605836,60.86286594761171,51
48,201,4811,,4628,,79,,319,195,87,46,28,13,7,2,0,0,12,7,3,1,1,23.733333333333334,68.92826274848747,48
48,201,4812,,5572,,86,G,347,93,41,17,9,7,4,2,0,0,13,7,3,1,2,59.913978494623656,62.275664034458,48
48,201,4821,,3453,,67,,269,208,83,47,22,20,5,3,1,0,27,16,6,2,3,16.60096153846154,77.90327251665218,48
