id,fipstate,fipscty,naics,naics_description,emp,qp1,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,geography,avg_emp_per_est,avg_payroll_per_emp,est_size_category,naics_sector,small_biz_pct,created_at
25,48,201,722511,Full-Service Restaurants,474,7637,30548,79,35,15,11,7,3,2,1,0,0,Harris County,6.0,64447.26,Medium,72,77.2,2025-12-05 16:35:33
26,48,201,722513,Limited-Service Restaurants,11063,114067,456271,481,216,96,72,48,24,14,7,1,0,Harris County,23.0,41242.97,Large,72,79.8,2025-12-05 16:35:33
27,48,201,445110,Supermarkets and Grocery Stores,1485,17502,70008,99,44,19,14,9,4,2,1,0,0,Harris County,15.0,47143.43,Medium,44,77.8,2025-12-05 16:35:33
28,48,201,621111,Offices of Physicians,5093,49870,199482,463,208,92,69,46,23,13,6,1,0,Harris County,11.0,39167.88,Large,62,79.7,2025-12-05 16:35:33
29,48,201,621210,Offices of Dentists,11136,129046,516187,384,172,76,57,38,19,11,5,1,0,Harris County,29.0,46353.0,Large,62,79.4,2025-12-05 16:35:33
30,48,201,541110,Offices of Lawyers,2520,40217,160869,120,54,24,18,12,6,3,1,0,0,Harris County,21.0,63836.9,Medium,54,80.0,2025-12-05 16:35:33
31,48,201,541211,Offices of CPAs,5964,50881,203527,213,95,42,31,21,10,6,3,0,0,Harris County,28.0,34125.92,Large,54,78.9,2025-12-05 16:35:33
32,48,201,531210,Real Estate Agents/Brokers,6996,92544,370179,318,143,63,47,31,15,9,4,1,0,Harris County,22.0,52912.95,Large,53,79.6,2025-12-05 16:35:33
33,48,201,812111,Barber Shops,4040,55614,222458,404,181,80,60,40,20,12,6,1,0,Harris County,10.0,55063.86,Large,81,79.5,2025-12-05 16:35:33
34,48,201,812112,Beauty Salons,315,5548,22194,63,28,12,9,6,3,1,0,0,0,Harris County,5.0,70457.14,Medium,81,77.8,2025-12-05 16:35:33
35,48,201,811111,General Auto Repair,3200,28780,115120,160,72,32,24,16,8,4,2,0,0,Harris County,20.0,35975.0,Medium,81,80.0,2025-12-05 16:35:33
36,48,201,236220,Commercial Construction,2941,28620,114481,173,77,34,25,17,8,5,2,0,0,Harris County,17.0,38925.88,Medium,23,78.6,2025-12-05 16:35:33
37,48,201,238220,Plumbing/HVAC Contractors,160,1972,7888,20,9,4,3,2,1,0,0,0,0,Harris County,8.0,49300.0,Small,23,80.0,2025-12-05 16:35:33
38,48,201,423450,Medical Equipment Wholesale,1518,13124,52496,253,113,50,37,25,12,7,3,1,0,Harris County,6.0,34582.35,Large,42,79.1,2025-12-05 16:35:33
39,48,201,441110,New Car Dealers,8970,116610,466440,345,155,69,51,34,17,10,5,1,0,Harris County,26.0,52000.0,Large,44,79.7,2025-12-05 16:35:33
40,48,201,453110,Florists,10908,141493,565972,404,181,80,60,40,20,12,6,1,0,Harris County,27.0,51885.96,Large,45,79.5,2025-12-05 16:35:33
41,48,201,522110,Commercial Banking,10395,117972,471891,495,222,99,74,49,24,14,7,1,0,Harris County,21.0,45395.96,Large,52,79.8,2025-12-05 16:35:33
42,48,201,524210,Insurance Agencies,4928,55667,222671,224,100,44,33,22,11,6,3,0,0,Harris County,22.0,45184.86,Large,52,79.0,2025-12-05 16:35:33
43,48,201,611110,Elementary/Secondary Schools,2289,26102,104408,327,147,65,49,32,16,9,4,1,0,Harris County,7.0,45612.93,Large,61,79.8,2025-12-05 16:35:33
44,48,201,713940,Fitness Centers,1992,19669,78678,249,112,49,37,24,12,7,3,0,0,Harris County,8.0,39496.99,Large,71,79.5,2025-12-05 16:35:33
45,48,201,721110,Hotels and Motels,6739,81744,326976,293,131,58,43,29,14,8,4,1,0,Harris County,23.0,48519.96,Large,72,79.2,2025-12-05 16:35:33
46,48,201,44,Retail Trade - Motor/Furniture,610,7103,28415,61,30,13,7,4,2,1,0,0,0,ZIP 77373,10.0,46581.97,Medium,44,82.0,2025-12-05 16:35:33
47,48,201,45,Retail Trade - Electronics/Food,560,8387,33548,80,40,17,10,6,3,1,0,0,0,ZIP 77373,7.0,59907.14,Medium,45,83.8,2025-12-05 16:35:33
48,48,201,72,Accommodation and Food Services,935,14398,57595,85,42,18,11,6,3,1,0,0,0,ZIP 77373,11.0,61598.93,Medium,72,83.5,2025-12-05 16:35:33
49,48,201,62,Health Care,2394,30442,121768,126,63,27,16,10,5,2,1,0,0,ZIP 77373,19.0,50863.83,Medium,62,84.1,2025-12-05 16:35:33
50,48,201,54,Professional Services,756,11424,45697,54,27,11,7,4,2,1,0,0,0,ZIP 77373,14.0,60445.77,Medium,54,83.3,2025-12-05 16:35:33
51,48,201,52,Finance and Insurance,779,9893,39573,41,20,9,5,3,1,0,0,0,0,ZIP 77373,19.0,50799.74,Small,52,82.9,2025-12-05 16:35:33
52,48,201,81,Other Services,940,12244,48976,94,47,20,12,7,3,1,0,0,0,ZIP 77373,10.0,52102.13,Medium,81,84.0,2025-12-05 16:35:33
53,48,201,44,Retail Trade - Motor/Furniture,690,8817,35270,115,57,25,14,9,4,2,0,0,0,ZIP 77379,6.0,51115.94,Medium,44,83.5,2025-12-05 16:35:33
54,48,201,45,Retail Trade - Electronics/Food,256,3272,13090,16,8,3,2,1,0,0,0,0,0,ZIP 77379,16.0,51132.81,Small,45,81.2,2025-12-05 16:35:33
55,48,201,72,Accommodation and Food Services,2220,30800,123203,111,55,24,14,8,4,2,0,0,0,ZIP 77379,20.0,55496.85,Medium,72,83.8,2025-12-05 16:35:33
56,48,201,62,Health Care,1940,26960,107840,97,48,21,12,7,3,1,0,0,0,ZIP 77379,20.0,55587.63,Medium,62,83.5,2025-12-05 16:35:33
57,48,201,54,Professional Services,1232,12068,48275,77,38,16,10,6,3,1,0,0,0,ZIP 77379,16.0,39184.25,Medium,54,83.1,2025-12-05 16:35:33
58,48,201,52,Finance and Insurance,516,5808,23232,43,21,9,5,3,1,0,0,0,0,ZIP 77379,12.0,45023.26,Small,52,81.4,2025-12-05 16:35:33
59,48,201,81,Other Services,119,1636,6546,17,8,3,2,1,0,0,0,0,0,ZIP 77379,7.0,55008.4,Small,81,76.5,2025-12-05 16:35:33
60,48,201,44,Retail Trade - Motor/Furniture,2214,32423,129693,123,61,27,15,9,4,2,0,0,0,ZIP 77380,18.0,58578.59,Medium,44,83.7,2025-12-05 16:35:33
61,48,201,45,Retail Trade - Electronics/Food,594,7591,30364,66,33,14,8,5,2,1,0,0,0,ZIP 77380,9.0,51117.85,Medium,45,83.3,2025-12-05 16:35:33
62,48,201,72,Accommodation and Food Services,2660,40228,160914,133,66,29,17,10,5,2,1,0,0,ZIP 77380,20.0,60493.98,Medium,72,84.2,2025-12-05 16:35:33
63,48,201,62,Health Care,990,13972,55889,55,27,12,7,4,2,1,0,0,0,ZIP 77380,18.0,56453.54,Medium,62,83.6,2025-12-05 16:35:33
64,48,201,54,Professional Services,425,6183,24735,85,42,18,11,6,3,1,0,0,0,ZIP 77380,5.0,58200.0,Medium,54,83.5,2025-12-05 16:35:33
65,48,201,52,Finance and Insurance,658,6900,27601,47,23,10,6,3,1,0,0,0,0,ZIP 77380,14.0,41946.81,Small,52,83.0,2025-12-05 16:35:33
66,48,201,81,Other Services,530,6846,27387,53,26,11,6,4,2,1,0,0,0,ZIP 77380,10.0,51673.58,Medium,81,81.1,2025-12-05 16:35:33
67,48,201,44,Retail Trade - Motor/Furniture,552,7642,30568,69,34,15,8,5,2,1,0,0,0,ZIP 77381,8.0,55376.81,Medium,44,82.6,2025-12-05 16:35:33
68,48,201,45,Retail Trade - Electronics/Food,1507,20957,83828,137,68,30,17,10,5,2,1,0,0,ZIP 77381,11.0,55625.75,Medium,45,83.9,2025-12-05 16:35:33
69,48,201,72,Accommodation and Food Services,1881,27575,110301,99,49,21,12,7,3,1,0,0,0,ZIP 77381,19.0,58639.55,Medium,72,82.8,2025-12-05 16:35:33
70,48,201,62,Health Care,558,8466,33867,62,31,13,8,4,2,1,0,0,0,ZIP 77381,9.0,60693.55,Medium,62,83.9,2025-12-05 16:35:33
71,48,201,54,Professional Services,2033,21795,87181,107,53,23,13,8,4,2,0,0,0,ZIP 77381,19.0,42882.93,Medium,54,83.2,2025-12-05 16:35:33
72,48,201,52,Finance and Insurance,940,12871,51487,47,23,10,6,3,1,0,0,0,0,ZIP 77381,20.0,54773.4,Small,52,83.0,2025-12-05 16:35:33
73,48,201,81,Other Services,1760,15491,61964,88,44,19,11,7,3,1,0,0,0,ZIP 77381,20.0,35206.82,Medium,81,84.1,2025-12-05 16:35:33
74,48,201,44,Retail Trade - Motor/Furniture,1072,12997,51989,134,67,29,17,10,5,2,1,0,0,ZIP 77382,8.0,48497.2,Medium,44,84.3,2025-12-05 16:35:33
75,48,201,45,Retail Trade - Electronics/Food,808,13077,52309,101,50,22,13,8,4,2,0,0,0,ZIP 77382,8.0,64738.86,Medium,45,84.2,2025-12-05 16:35:33
76,48,201,72,Accommodation and Food Services,1140,17777,71108,57,28,12,7,4,2,1,0,0,0,ZIP 77382,20.0,62375.44,Medium,72,82.5,2025-12-05 16:35:33
77,48,201,62,Health Care,1819,27724,110897,107,53,23,13,8,4,2,0,0,0,ZIP 77382,17.0,60965.92,Medium,62,83.2,2025-12-05 16:35:33
78,48,201,54,Professional Services,528,4766,19067,66,33,14,8,5,2,1,0,0,0,ZIP 77382,8.0,36111.74,Medium,54,83.3,2025-12-05 16:35:33
79,48,201,52,Finance and Insurance,2740,25337,101349,137,68,30,17,10,5,2,1,0,0,ZIP 77382,20.0,36988.69,Medium,52,83.9,2025-12-05 16:35:33
80,48,201,81,Other Services,931,11318,45273,49,24,10,6,3,1,0,0,0,0,ZIP 77382,19.0,48628.36,Small,81,81.6,2025-12-05 16:35:33
81,48,201,44,Retail Trade - Motor/Furniture,648,7318,29273,72,36,15,9,5,2,1,0,0,0,ZIP 77386,9.0,45174.38,Medium,44,83.3,2025-12-05 16:35:33
82,48,201,45,Retail Trade - Electronics/Food,1120,11946,47785,80,40,17,10,6,3,1,0,0,0,ZIP 77386,14.0,42665.18,Medium,45,83.8,2025-12-05 16:35:33
83,48,201,72,Accommodation and Food Services,384,3591,14366,24,12,5,3,1,0,0,0,0,0,ZIP 77386,16.0,37411.46,Small,72,83.3,2025-12-05 16:35:33
84,48,201,62,Health Care,988,14009,56039,52,26,11,6,4,2,1,0,0,0,ZIP 77386,19.0,56719.64,Medium,62,82.7,2025-12-05 16:35:33
85,48,201,54,Professional Services,1536,15586,62344,128,64,28,16,10,5,2,1,0,0,ZIP 77386,12.0,40588.54,Medium,54,84.4,2025-12-05 16:35:33
86,48,201,52,Finance and Insurance,2023,26551,106207,119,59,26,15,9,4,2,0,0,0,ZIP 77386,17.0,52499.75,Medium,52,84.0,2025-12-05 16:35:33
87,48,201,81,Other Services,1014,9555,38220,78,39,17,10,6,3,1,0,0,0,ZIP 77386,13.0,37692.31,Medium,81,84.6,2025-12-05 16:35:33
88,48,201,44,Retail Trade - Motor/Furniture,720,7386,29544,40,20,8,5,3,1,0,0,0,0,ZIP 77388,18.0,41033.33,Small,44,82.5,2025-12-05 16:35:33
89,48,201,45,Retail Trade - Electronics/Food,150,2062,8250,30,15,6,3,2,1,0,0,0,0,ZIP 77388,5.0,55000.0,Small,45,80.0,2025-12-05 16:35:33
90,48,201,72,Accommodation and Food Services,377,4918,19674,29,14,6,3,2,1,0,0,0,0,ZIP 77388,13.0,52185.68,Small,72,79.3,2025-12-05 16:35:33
91,48,201,62,Health Care,207,2235,8940,23,11,5,2,1,0,0,0,0,0,ZIP 77388,9.0,43188.41,Small,62,78.3,2025-12-05 16:35:33
92,48,201,54,Professional Services,88,1410,5640,11,5,2,1,0,0,0,0,0,0,ZIP 77388,8.0,64090.91,Small,54,72.7,2025-12-05 16:35:33
93,48,201,52,Finance and Insurance,1020,13344,53376,60,30,13,7,4,2,1,0,0,0,ZIP 77388,17.0,52329.41,Medium,52,83.3,2025-12-05 16:35:33
94,48,201,81,Other Services,1552,22743,90975,97,48,21,12,7,3,1,0,0,0,ZIP 77388,16.0,58617.91,Medium,81,83.5,2025-12-05 16:35:33
95,48,201,44,Retail Trade - Motor/Furniture,1311,19104,76418,69,34,15,8,5,2,1,0,0,0,ZIP 77389,19.0,58289.86,Medium,44,82.6,2025-12-05 16:35:33
96,48,201,45,Retail Trade - Electronics/Food,2384,33032,132128,149,74,32,19,11,5,2,1,0,0,ZIP 77389,16.0,55422.82,Medium,45,83.9,2025-12-05 16:35:33
97,48,201,72,Accommodation and Food Services,1320,11846,47385,120,60,26,15,9,4,2,0,0,0,ZIP 77389,11.0,35897.73,Medium,72,84.2,2025-12-05 16:35:33
98,48,201,62,Health Care,1010,14146,56585,101,50,22,13,8,4,2,0,0,0,ZIP 77389,10.0,56024.75,Medium,62,84.2,2025-12-05 16:35:33
99,48,201,54,Professional Services,1440,21174,84699,90,45,19,11,7,3,1,0,0,0,ZIP 77389,16.0,58818.75,Medium,54,83.3,2025-12-05 16:35:33
100,48,201,52,Finance and Insurance,1164,16291,65166,97,48,21,12,7,3,1,0,0,0,ZIP 77389,12.0,55984.54,Medium,52,83.5,2025-12-05 16:35:33
101,48,201,81,Other Services,1050,12450,49800,105,52,23,13,8,4,2,0,0,0,ZIP 77389,10.0,47428.57,Medium,81,83.8,2025-12-05 16:35:33
